item_id,incubator,location,industry,description
1,IBM Innovation Space,Toronto,Tech,"The IBM Innovation Space is a Toronto-based incubator that provides startups with a collaborative space to innovate and disrupt the market. Our goal is to provide you with the tools needed to take your idea to the next level, introduce you to the right networks and help you acquire new clients. Our unique approach, specifically around client engagement, positions your company for optimal growth and revenue at an accelerated pace"
2,Founder Institute Vancouver (pre-seed accelerator),Vancouver,All tech or tech-enabled businesses. ,"The Founder Institute works with entrepreneurs and teams in the pre-seed stage, typically before they are advanced enough to gain acceptance into a seed-accelerator program. The program helps you build an enduring business by providing Vancouver startup experts that are invested in your success, and a structured business-building process that has helped alumni raise over $950M."
3,Hxouse,Toronto,Tech,Hxouse is a next-generation incubator and accelerator that is at the forefront of fostering innovation and opportunity for creative entrepreneurs. We facilitate connections between talent and industry to build mutually beneficial relationships between future talent and current industry titans.
4,NEXT Canada,Toronto,Science,"NEXT Canada’s mission is to increase national prosperity by providing an ecosystem to support the country’s most exceptional entrepreneurs and innovators.  We believe in founder development – a unique blend of mentorship, education and networking that inspires driven Canadians to disrupt industries and build globally relevant companies.  We believe that harnessing the potential of big thinking Canadians is key to success on a global stage."
5,University of Toronto - The Creative Destruction Lab,Toronto,Science,"CDL-Toronto is located at the Rotman School of Management at the University of Toronto. Launched in 2012, it was the first CDL location established and was the brainchild created by the need to merge science-based projects with business expertise to create massively scalable ventures. It currently offers seven streams: Prime, Artificial Intelligence, Blockchain-AI, Cities, Health, Quantum, and Space. The QML stream is the latest initiative, varying from CDL-Toronto’s other streams in that it offers accepted applicants access to capital, working space, and quantum computing resources from technology partners D-Wave Systems and Rigetti. "
6,Leaf Forward,Toronto,Cannabis,"Leaf Forward is Canada’s first cannabis business accelerator, providing early stage cannabis focused businesses with mentorship, networking, and learning opportunities from successful leaders who have taken ideas and turned them into reality. Leaf Forward leverages its extensive network of entrepreneurs, industry experts, and senior leaders to foster and grow the canna-startup ecosystem preparing founders to pitch investors, raise money and take their business to the next level."
7,NEH - Newcomer Entrepreneurship Hub,Toronto,Tech,"Newcomer Entrepreneurship Hub (NEH) is a skills and career-based training program connecting immigrants to business ownership training, product testing opportunities, and networking. This is an interactive program that aims to increase opportunities of self-employment and financial independence for newcomers facing barriers to entrepreneurship."
8,Ryerson DMZ Accelerator,Toronto,All tech or tech-enabled businesses,"The DMZ is a world leading accelerator for tech startups in Canada. We help startups build great businesses by connecting them with customers, capital, experts and a community of entrepreneurs and influencers. For us, this means creating an environment where you can focus on scaling your business. We help with the rest."
9,DMZ at Ryerson University,Toronto,Tech,"he DMZ at Ryerson University is one of Canada’s largest business incubators for emerging tech startups. The top-ranked university incubator in North America and third in the world, it helps startups succeed by connecting them with customers, advisors, influencers and other entrepreneurs. The DMZ is open to all startups that meet its criteria — no Ryerson affiliation is required"
10,Grow Tech Labs,Vancouver,Cannabis.,Grow Tech Labs’ Accelerator Program features a self-directed model that will provide innovators and entrepreneurs with a clear roadmap to achieving their growth goals and receiving funding along the way.
11,Radius SFU,Vancouver,Social Impact. ,"A Social Innovation Hub for Thoughtful Changemakers. At RADIUS, we believe an economy that works for everyone is one that is just, inclusive, resilient and sustainable. To enact social change, we nurture radical ideas into useful solutions. Along the way, we learn by doing, and equip aspiring changemakers to drive economic transformation. We are RADIUS – we build solutions and support leaders in service of systems change."
12,Colliers Proptech Accelerator,Toronto,Tech,"olliers Proptech Accelerator Powered by Techstars focuses on solving problems across the property & commercial real estate industry. The possibilities for innovation, disruption & productivity enhancing opportunities are endless. The partnership combines Techstars expertise in tech innovation, startups & alumni network with Colliers’ expertise in real estate, enterprising culture & global network"
13,Startup Boost Toronto,Toronto,Tech,"Welcome to Startup Boost Toronto. Our ethos is to lead pre-seed stage startups towards Accelerators, Investment, and/or Revenue (AIR)."
14,Startup Boost Toronto Pre-Accelerator Program,Toronto,Tech,"Startup Boost is a 6 week global pre-accelerator program with a mission to lead pre-seed stage startups towards Accelerators, Investment, and Revenue."
15,Accelerate Okanagan,Vancouver,All Tech,"Accelerate Okanagan is a dynamic accelerator based in the heart of British Columbia’s Okanagan Valley, dedicated to fostering innovation and supporting entrepreneurs. The program provides mentorship, resources, and funding opportunities to startups and growth-stage companies in the tech sector. With a focus on community building and collaboration, Accelerate Okanagan helps entrepreneurs navigate challenges, scale their businesses, and access a global network of industry experts and investors."
16,Spring,Vancouver,Social Impact.,"Spring is using business as a force for good to empower social impact leaders with the know-how, network and support needed to build a better business. "
17,HELIX at Seneca College,Toronto,Tech,"Seneca College’s entrepreneurship incubator, HELIX (Health Entrepreneurship and Lifestyle Innovation Xchange) is committed to fostering the entrepreneurial potential of students and youth (18-29 years old) by providing experiential and cross-disciplinary entrepreneurship opportunities designed to help youth entrepreneurs develop sustainable and scalable businesses. HELIX supports young entrepreneurs and early-stage start-ups access to: state of the art incubator workspace, targeted workshops, networking opportunities, learning focused community of mentors, innovation and entrepreneurship portal, seed funding, experiential opportunities, network of like-minded peers."
