item_id,event,date,location,description
1,RBC Tech for Nature,1/14/2025,"Toronto, ON","The RBC Foundation has committed $100 million by 2025 to fund innovative environmental programs. We are proud to support more than 100 charitable partners implementing new ideas, technology and collaboration that aim to address some of the planet’s most pressing needs."
2,"Innovations in Lending, Alternative Financing, Fintech & Private Credit Summit ",3/11/2025,California,"An educational forum designed for investors, issuers, platforms, underwriters, banks rating agencies, lawyers, service providers, accountant, and other related industry professionals. At this conference learn and network with industry leaders to gain insight on the newest techniques to maximize returns and reduce risk exposure in this growing area of marketplace lending. "
3,"PEI | Private Debt Investor, Germany Forum",2/5/2025,Munich,"This forum will connect the most influential asset allocators and funds from the DACH region and beyond. Over 60 institutional and private investors will come together to meet private debt fund managers and the wider market to learn about the latest trends, explore investment opportunities and decide where to allocate their capital. Attendees will hear from over 70 speakers across the forum and have many opportunities to connect with active investors in Germany, Austria, and Switzerland. "
4,Clean Tech Summit,4/28/2025,"London, UK","This summit focuses on topics including: Climate tech and venture capital opprotunities, decarbonization of transportation and energy, challenges in climate tach start-up investments, everging markets and opprotunities, innovations and partnerships,  animal-free protine and clean tech, pannale discussions and more! "
5,"Unlocking Shareholder Value: Engagement & Corporate Governance Summit, Tokyo",2/20/2025,Japan,Discover how activist investors cultivate relationships with companies to positively influence sustained value creation while engaging with industry thought leaders on why and how ongoing shareholder engagement and activism play a vital role in affecting share value.
6,ESG Financial Products,3/30/2025,"London, UK","Discover how ETFs are growing as a preferred investment option for asset owners, institutional investors and other capital groups while engaging with exchanges, product innovators, research and performance analysts, academics and index providers on passive investment vehicles that are ESG focused."
7,Generating Alpha: ESG as a Core Driver of Institutional Portfolio Performance,1/27/2025,"New York, NY","Discover the latest practices in portfolio construction including screening, due diligence and how fund managers benchmark performance against traditional investment strategies while engaging with asset allocators, fund managers, investment consultants and capital markets experts on ESG investment strategies and how they generate portfolio returns. Apply state-of-play technologies designed to support long term alpha generation."
8,Water & Long-Term Value: Explore the Role of Water in Company Performance,4/17/2025,"San Francisco, CA","Discover how companies and institutional investors are adapting to water scarcity, wrestling with costs and moving toward efficient stewardship models while engaging with company executives, institutional investors, and capital markets experts on how corporate water policy and practice affects performance, ratings, and access to capital."
9,Sustainable Investment Forum North America,1/31/2025,TBD,"SIF North America 2022 will explore the need for central governments to direct capital for a greener, inclusive recovery and redirect fiscal policy towards resilient, sustainable growth."
10,Investor Institute | Consultants & Institutional Investors Roundtable,3/15/2025,"Chicago, IL",2023 Roundtable for Consultants & Institutional Investors
11,BloombergNEF Summits,4/8/2025,"London, UK","Where energy, finance and technology converge: The BNEF Summit provides the ideas, insights and connections to formulate successful strategies, capitalize on technological change and shape a cleaner, more competitive future."
12,SHARE | Investor Summit ,2/25/2025,"Vancouver, BC","This event brings together institutional investors including pension funds, foundations, universities, Indigenous trusts, faith-based groups and asset managers to strengthen investor collaboration and action around the critical ESG challenges facing capital markets."
13,RI | Responsible Investor Europe,3/6/2025,"London, UK",Responsible Investor’s 16th annual RI Europe conference is returning in person in London this June. This year’s edition of the flagship event will discuss sustainable finance developments and industry best practices.
14,"Environmental Finance | ESG in Fixed Income Global Series, Americas",1/21/2025,"New York, NY","Attend to discuss the current and upcoming ESG trends in fixed income as well as the big issues and the strategies that can be deployed to further drive the growth and development of the green, social and sustainability bonds market in the region."
15,"Environmental Finance | ESG in Fixed Income Global Series, Asia",2/12/2025,Singapore ,"Attend to discuss the current and upcoming ESG trends in fixed income as well as the big issues and the strategies that can be deployed to further drive the growth and development of the green, social and sustainability bonds market in the region."
16,RI | Responsible Investor USA,4/3/2025,"New York, NY",Responsible Investor USA 2023 is the 15th annual conference focusing on sustainable business and finance issues in North America. 
17,RI | Responsible Investor Asia,3/1/2025,Singapore ,Join the Responsible Investor Asia conference to gain valuable insight into how leading organisations are implementing ESG and responsible investment strategies that deliver value and sustainable outcomes.
18,RI | Responsible Investor Canada,1/9/2025,"Toronto, ON","RI Canada brings together leading banks, pension funds, insurers and financial regulators to pave the way to a sustainable, net-zero economy. Get in-depth insight on leading climate strategies, Stay on top of disclosure and regulatory developments, Address transition risks, and Discover investment opportunities for a sustainable economy."
19,GreenBiz | GreenFin: The premier Sustainable Finance & Investment Event,4/14/2025,"Boston, MA","GreenFin 23 will convene an influential audience of finance, investment and sustainability professionals to share insights, address key challenges and showcase leading sustainable financial products and services."
20,CLS | Lenders Summit,3/23/2025,"Toronto, ON","From Banks to FinTechs, the Summit is the hub for payment and lending innovation across all consumer and commercial sectors. Network with over 500 industry executives. "
21,"For Climate Action, Urban Finance",2/19/2025,"Toronto, ON","The joint 5th Urban Economy Forum + 59th ISOCARP World Planning Congress (UEF5+WPC59) is a unique international conference that will focus on the critical role of urban finance and integrated climate-responsive planning for climate action and promoting sustainable development, especially in the context of climate crisis and financial constraints. It will also review best practices and innovative solutions to mitigate and adapt to climate change while promoting social resilience and inclusivity."
22,Future of Good | Social Finance Forum,1/19/2025,Vurtual Only,"Canada’s premier conference for learning, connecting and transforming social finance and impact investing. A can’t miss event for impact investors and entrepreneurs. Since 2007, thousands of changemakers have gathered at the MaRS Centre in Toronto to accelerate the adoption of social finance. As a truly multi-sector experience, governments, domestic and international NGOs, academia, philanthropy and the corporate sector have been key stakeholders and participants."
23,BloombergNEF Summits,4/1/2025,New Delhi,"As an invitation-only event, which individuals may express an interest to attend, the BNEF Summit New Delhi will take place as an official B20 side event and receives strategic support from the Confederation of Indian Industry (CII). The event will be aligned to the B20’s task force on energy, environment, and climate change."
24,CEE Sustainable Finance Summit,3/18/2025,Prague ,"As an invite-only event, the CEE Sustainable Finance Summit is the largest specialised hybrid event focused on sustainability in finance and business in Central and Eastern European (CEE) region."
25,Bloomberg New Economy Annual Forum,2/27/2025,Singapore ,The bridge between promise and progress: Empowering ideas with capital for a better tomorrow
26,Advancing SDG focused Impact Investing in Emerging Markets,4/11/2025,"Toronto, ON",CAFIID is hosting an afternoon event to provide a forum for reflection on ways to advance the impact investment in emerging markets.
